LOCATION,Country,FREQUENCY,CPI Index,TIME,1Y Inflation,5Y Inflation,20Y Inflation
AUS,Australia,M*,3.436267,1948-06-30,,,
AUS,Australia,M*,3.4672243333333332,1948-07-31,,,
AUS,Australia,M*,3.4981816666666665,1948-08-31,,,
AUS,Australia,M*,3.529139,1948-09-30,,,
AUS,Australia,M*,3.560096333333333,1948-10-31,,,
AUS,Australia,M*,3.591053666666667,1948-11-30,,,
AUS,Australia,M*,3.622011,1948-12-31,,,
AUS,Australia,M*,3.6529683333333334,1949-01-31,,,
AUS,Australia,M*,3.6839256666666667,1949-02-28,,,
AUS,Australia,M*,3.714883,1949-03-31,,,
AUS,Australia,M*,3.745840333333333,1949-04-30,,,
AUS,Australia,M*,3.7767976666666665,1949-05-31,,,
AUS,Australia,M*,3.807755,1949-06-30,0.10810801372535939,,
AUS,Australia,M*,3.807755,1949-07-31,0.09821420073482412,,
AUS,Australia,M*,3.807755,1949-08-31,0.08849549932846057,,
AUS,Australia,M*,3.807755,1949-09-30,0.07894730131060301,,
AUS,Australia,M*,3.838712333333333,1949-10-31,0.07826080361683108,,
AUS,Australia,M*,3.869669666666667,1949-11-30,0.07758614208030501,,
AUS,Australia,M*,3.900627,1949-12-31,0.0769230132100649,,
AUS,Australia,M*,3.9315843333333333,1950-01-31,0.07627112380297119,,
AUS,Australia,M*,3.9625416666666666,1950-02-28,0.07563019051144448,,
AUS,Australia,M*,3.993499,1950-03-31,0.07499993943281669,,
AUS,Australia,M*,4.024456333333333,1950-04-30,0.07438010571904607,,
AUS,Australia,M*,4.0554136666666665,1950-05-31,0.0737704332056266,,
AUS,Australia,M*,4.086371,1950-06-30,0.0731706740585989,,
AUS,Australia,M*,4.148285666666666,1950-07-31,0.0894308238493986,,
AUS,Australia,M*,4.210200333333334,1950-08-31,0.10569097364019853,,
AUS,Australia,M*,4.272115,1950-09-30,0.12195112343099823,,
AUS,Australia,M*,4.33403,1950-10-31,0.12903224405892377,,
AUS,Australia,M*,4.395945,1950-11-30,0.13600006684463772,,
AUS,Australia,M*,4.45786,1950-12-31,0.1428572893537372,,
AUS,Australia,M*,4.550731666666667,1951-01-31,0.1574803643620175,,
AUS,Australia,M*,4.643603333333334,1951-02-28,0.17187495399627783,,
AUS,Australia,M*,4.736475,1951-03-31,0.18604637186587514,,
AUS,Australia,M*,4.79839,1951-04-30,0.19230763178032584,,
AUS,Australia,M*,4.860305,1951-05-31,0.19847330001107166,,
AUS,Australia,M*,4.92222,1951-06-30,0.20454554909478384,,
AUS,Australia,M*,5.046049333333333,1951-07-31,0.21641799499986236,,
AUS,Australia,M*,5.1698786666666665,1951-08-31,0.2279412515683139,,
AUS,Australia,M*,5.293708,1951-09-30,0.23913050093454857,,
AUS,Australia,M*,5.355622666666666,1951-10-31,0.23571425824617398,,
AUS,Australia,M*,5.417537333333334,1951-11-30,0.2323942481840271,,
AUS,Australia,M*,5.479452,1951-12-31,0.22916646103735872,,
AUS,Australia,M*,5.541366666666667,1952-01-31,0.21768697268094983,,
AUS,Australia,M*,5.603281333333333,1952-02-29,0.20666666188111082,,
AUS,Australia,M*,5.665196,1952-03-31,0.19607851830739098,,
AUS,Australia,M*,5.696153333333333,1952-04-30,0.1870967831571282,,
AUS,Australia,M*,5.7271106666666665,1952-05-31,0.17834388308278304,,
AUS,Australia,M*,5.758068,1952-06-30,0.16981118275899898,,
AUS,Australia,M*,5.789025333333333,1952-07-31,0.14723914708721297,,
AUS,Australia,M*,5.819982666666666,1952-08-31,0.12574840570081713,,
AUS,Australia,M*,5.85094,1952-09-30,0.10526307835641857,,
AUS,Australia,M*,5.85094,1952-10-31,0.09248548005746993,,
AUS,Australia,M*,5.85094,1952-11-30,0.07999994093257112,,
AUS,Australia,M*,5.85094,1952-12-31,0.06779656067796558,,
AUS,Australia,M*,5.881897333333333,1953-01-31,0.06145246960737705,,
AUS,Australia,M*,5.912854666666667,1953-02-28,0.05524857934434135,,
AUS,Australia,M*,5.943812,1953-03-31,0.049180293144315046,,
AUS,Australia,M*,5.974769666666667,1953-04-30,0.048913067649162256,,
AUS,Australia,M*,6.005727333333334,1953-05-31,0.04864873107626355,,
AUS,Australia,M*,6.036685,1953-06-30,0.04838723683013124,0.11928922408395337,
AUS,Australia,M*,6.005727333333334,1953-07-31,0.03743324437573725,0.11613501732990472,
AUS,Australia,M*,5.974769666666667,1953-08-31,0.026595783675873674,0.11300153068970453,
AUS,Australia,M*,5.943812,1953-09-30,0.01587300502141553,0.1098882663451235,
AUS,Australia,M*,5.974769666666667,1953-10-31,0.021164063666123223,0.109103008991706,
AUS,Australia,M*,6.005727333333334,1953-11-30,0.026455122310831136,0.10832911777003162,
AUS,Australia,M*,6.036685,1953-12-31,0.03174618095553883,0.10756634324829006,
AUS,Australia,M*,6.036685,1954-01-31,0.026315941590729475,0.10568271766507875,
AUS,Australia,M*,6.036685,1954-02-28,0.020942563332635,0.10381815087227508,
AUS,Australia,M*,6.036685,1954-03-31,0.01562515772706141,0.1019722922851285,
AUS,Australia,M*,6.036685,1954-04-30,0.010362798365058268,0.10014480062147801,
AUS,Australia,M*,6.036685,1954-05-31,0.005154690672492412,0.09833534358043661,
