LOCATION,Country,FREQUENCY,MEASURE,UNIT_MEASURE,TIME,Value
LUX,Luxembourg,M,CPI,IX,2023-07,119.91
LUX,Luxembourg,M,CPI,IX,2023-06,120.46
LUX,Luxembourg,M,CPI,IX,1955-06,14.52983
LUX,Luxembourg,M,CPI,IX,1955-05,14.50605
LUX,Luxembourg,M,CPI,IX,1955-04,14.5227
LUX,Luxembourg,M,CPI,IX,1955-03,14.55837
LUX,Luxembourg,M,CPI,IX,1955-02,14.69866
LUX,Luxembourg,M,CPI,IX,1955-01,14.76643
LUX,Luxembourg,M,CPI,IX,1956-09,14.72957
LUX,Luxembourg,M,CPI,IX,1956-08,14.67369
LUX,Luxembourg,M,CPI,IX,1956-07,14.6832
LUX,Luxembourg,M,CPI,IX,1956-06,14.66656
LUX,Luxembourg,M,CPI,IX,1956-05,14.5334
LUX,Luxembourg,M,CPI,IX,1956-04,14.59879
LUX,Luxembourg,M,CPI,IX,1956-03,14.74146
LUX,Luxembourg,M,CPI,IX,1956-02,14.62138
LUX,Luxembourg,M,CPI,IX,1956-01,14.73195
LUX,Luxembourg,M,CPI,IX,1955-12,14.74384
LUX,Luxembourg,M,CPI,IX,1955-11,14.7379
LUX,Luxembourg,M,CPI,IX,1955-10,14.71531
LUX,Luxembourg,M,CPI,IX,1955-09,14.72719
LUX,Luxembourg,M,CPI,IX,1955-08,14.67607
LUX,Luxembourg,M,CPI,IX,1955-07,14.65467
LUX,Luxembourg,M,CPI,IX,1959-04,15.4453
LUX,Luxembourg,M,CPI,IX,1959-03,15.46076
LUX,Luxembourg,M,CPI,IX,1959-02,15.52853
LUX,Luxembourg,M,CPI,IX,1959-01,15.58916
LUX,Luxembourg,M,CPI,IX,1958-12,15.57965
LUX,Luxembourg,M,CPI,IX,1958-11,15.5749
LUX,Luxembourg,M,CPI,IX,1958-10,15.55825
LUX,Luxembourg,M,CPI,IX,1958-09,15.62245
LUX,Luxembourg,M,CPI,IX,1958-08,15.54755
LUX,Luxembourg,M,CPI,IX,1958-07,15.50594
LUX,Luxembourg,M,CPI,IX,1958-06,15.50118
LUX,Luxembourg,M,CPI,IX,1958-05,15.43579
LUX,Luxembourg,M,CPI,IX,1958-04,15.42747
LUX,Luxembourg,M,CPI,IX,1958-03,15.38348
LUX,Luxembourg,M,CPI,IX,1958-02,15.50475
LUX,Luxembourg,M,CPI,IX,1958-01,15.58916
LUX,Luxembourg,M,CPI,IX,1957-12,15.6498
LUX,Luxembourg,M,CPI,IX,1957-11,15.62959
LUX,Luxembourg,M,CPI,IX,1957-10,15.59392
LUX,Luxembourg,M,CPI,IX,1957-09,15.64267
LUX,Luxembourg,M,CPI,IX,1957-08,15.6712
LUX,Luxembourg,M,CPI,IX,1957-07,15.47265
LUX,Luxembourg,M,CPI,IX,1957-06,15.36446
LUX,Luxembourg,M,CPI,IX,1957-05,15.23368
LUX,Luxembourg,M,CPI,IX,1957-04,15.21941
LUX,Luxembourg,M,CPI,IX,1957-03,15.18017
LUX,Luxembourg,M,CPI,IX,1957-02,15.22535
LUX,Luxembourg,M,CPI,IX,1957-01,15.14213
LUX,Luxembourg,M,CPI,IX,1956-12,15.09101
LUX,Luxembourg,M,CPI,IX,1956-11,15.02086
LUX,Luxembourg,M,CPI,IX,1956-10,14.75692
LUX,Luxembourg,M,CPI,IX,1964-09,17.12169
LUX,Luxembourg,M,CPI,IX,1964-08,16.95286
LUX,Luxembourg,M,CPI,IX,1964-07,16.809
LUX,Luxembourg,M,CPI,IX,1964-06,16.81138
LUX,Luxembourg,M,CPI,IX,1964-05,16.67584
LUX,Luxembourg,M,CPI,IX,1964-04,16.66752
LUX,Luxembourg,M,CPI,IX,1964-03,16.63898
LUX,Luxembourg,M,CPI,IX,1964-02,16.70319
LUX,Luxembourg,M,CPI,IX,1964-01,16.57478
LUX,Luxembourg,M,CPI,IX,1963-12,16.57954
LUX,Luxembourg,M,CPI,IX,1963-11,16.53911
LUX,Luxembourg,M,CPI,IX,1963-10,16.49275
LUX,Luxembourg,M,CPI,IX,1963-09,16.57359
LUX,Luxembourg,M,CPI,IX,1963-08,16.45708
LUX,Luxembourg,M,CPI,IX,1963-07,16.40952
LUX,Luxembourg,M,CPI,IX,1963-06,16.41665
LUX,Luxembourg,M,CPI,IX,1963-05,16.3156
LUX,Luxembourg,M,CPI,IX,1963-04,16.0148
LUX,Luxembourg,M,CPI,IX,1963-03,16.04333
LUX,Luxembourg,M,CPI,IX,1963-02,16.04452
LUX,Luxembourg,M,CPI,IX,1963-01,15.97794
LUX,Luxembourg,M,CPI,IX,1962-12,15.95416
LUX,Luxembourg,M,CPI,IX,1962-11,15.91136
LUX,Luxembourg,M,CPI,IX,1962-10,15.87094
LUX,Luxembourg,M,CPI,IX,1962-09,15.99934
